,Name,Title
0,man,['maid']
1,man,[]
2,man,[]
3,man,['waiter']
4,man,['carpenter']
5,man,['laborer']
6,man,['driver']
7,man,['shoemaker']
8,man,[]
9,man,[]
10,man,['servant']
11,man,['doctor']
12,man,['cook']
13,man,[]
14,man,[]
15,man,['doctor']
16,man,[]
17,man,['salesman']
18,man,['doctor']
19,man,[]
20,man,['salesman']
21,man,['barber']
22,man,['mechanical engineer']
23,man,['plumber']
24,man,['salesman']
25,man,['mechanical engineer']
26,man,"['janitor', 'clerk']"
27,man,['weaver']
28,man,[]
29,man,[]
30,man,[]
31,man,['doctor']
32,man,['maid']
33,man,['salesman']
34,man,['messenger']
35,man,['cook']
36,man,['taxi driver']
37,man,['butcher']
38,man,['carpenter']
39,man,[]
40,man,[]
41,man,[]
42,man,['waiter']
43,man,['hand painter']
44,man,['waiter']
45,man,[]
46,man,[]
47,man,[]
48,man,['construction worker']
49,man,['baker']
50,man,['driver']
51,man,['printer']
52,man,['taxi driver']
53,man,['taxi driver']
54,man,[]
55,man,['factory worker']
56,man,[]
57,man,['shoemaker']
58,man,['magician']
59,man,[]
60,man,[]
61,man,"['butcher', 'butcher']"
62,man,['messenger']
63,man,['salesman']
64,man,[]
65,man,[]
66,man,['carpenter']
67,man,[]
68,man,[]
69,man,['salesman']
70,man,['carpenter']
71,man,[]
72,man,"['tailor', 'tailor']"
73,man,"['painter', 'merchant']"
74,man,[]
75,man,['janitor']
76,man,[]
77,man,[]
78,man,['factory worker']
79,man,['mechanic']
80,man,['shoemaker']
81,man,[]
82,man,['printer']
83,man,[]
84,man,[]
85,man,['tailor']
86,man,['cook']
87,man,[]
88,man,['spinner']
89,man,[]
90,man,['barber']
91,man,['mechanic']
92,man,['maid']
93,man,['taxi driver']
94,man,['spinner']
95,man,[]
96,man,['waiter']
97,man,[]
98,man,[]
99,man,['street vendor']
100,man,[]
101,man,['maid']
102,man,[]
103,man,[]
104,man,['taxi driver']
105,man,['taxi driver']
106,man,['mechanic']
107,man,['waiter']
108,man,['salesman']
109,man,[]
110,man,['taxi driver']
111,man,['salesman']
112,man,[]
113,man,['baker']
114,man,[]
115,man,[]
116,man,[]
117,man,['grocer']
118,man,['waiter']
119,man,['carpenter']
120,man,[]
121,man,['bar keeper']
122,man,['carpenter']
123,man,[]
124,man,[]
125,man,[]
126,man,['carpenter']
127,man,['salesman']
128,man,['servant']
129,man,['mechanic']
130,man,['carpenter']
131,man,[]
132,man,['taxi driver']
133,man,['barber']
134,man,['janitor']
135,man,['laborer']
136,man,['taxi driver']
137,man,['waiter']
138,man,[]
139,man,['hand spinner']
140,man,[]
141,man,[]
142,man,['salesman']
143,man,[]
144,man,[]
145,man,['maid']
146,man,[]
147,man,['weaver']
148,man,['courier']
149,man,[]
150,man,[]
151,man,[]
152,man,[]
153,man,['mechanic']
154,man,[]
155,man,['mechanic']
156,man,['cashier']
157,man,['butcher']
158,man,['messenger']
159,man,[]
160,man,['servant']
161,man,['carpenter']
162,man,['teller']
163,man,[]
164,man,['clerk']
165,man,['waiter']
166,man,['coach']
167,man,['magician']
168,man,"['mechanic', 'tailor']"
169,man,[]
170,man,[]
171,man,['tailor']
172,man,['vendor']
173,man,['photographer']
174,man,['factory worker']
175,man,['waiter']
176,man,[]
177,man,[]
178,man,[]
179,man,['salesman']
180,man,[]
181,man,['grocer']
182,man,['cab driver']
183,man,['mechanic']
184,man,[]
185,man,[]
186,man,['taxi driver']
187,man,['tailor']
188,man,['carpenter']
189,man,[]
190,man,['weaver']
191,man,['taxi driver']
192,man,['tailor']
193,man,[]
194,man,['waiter']
195,man,['carpenter']
196,man,['salesman']
197,man,['fisherman']
198,man,['butcher']
199,man,[]
200,man,['maid']
201,man,['truck driver']
202,man,['cook']
203,man,['magician']
204,man,[]
205,man,['salesman']
206,man,[]
207,man,['weaver']
208,man,['shoemaker']
209,man,['blacksmith']
210,man,['builder']
211,man,['weaver']
212,man,['tailor']
213,man,"['barber', 'baker']"
214,man,['teacher']
215,man,[]
216,man,['magician']
217,man,['teacher']
218,man,['carpenter']
